,buy_1,buy_2,buy_5,buy_7,buy_9,buy_10,buy_11,buy_12,buy_15,buy_16,buy_17,buy_19,buy_21,buy_27,buy_28,buy_29,buy_30,buy_31,buy_32,buy_34,buy_35,buy_38,buy_39,buy_48,buy_55,buy_56,buy_62,buy_63,buy_64,buy_109,buy_124,buy_161,buy_164,buy_165,buy_166,buy_198,buy_301
buy_1,1.0,0.031971007504925326,-0.005446043606442841,0.05156879309938299,-0.0145717466917551,0.04789600936638641,0.0440877583702063,-0.0015066498785262046,0.005238568865194636,-0.0003308793219593267,0.031204653505517738,0.02570896073660419,0.009900683003305436,0.019044534205751733,0.23694996018539857,-0.00995656615031616,-0.008323933711149131,0.022351992244462906,0.022351992244462906,0.037373138165446566,-0.0003308793219593246,0.011831640571393508,0.012323455027213524,-0.0003308793219593246,0.027655534594105496,0.025966556178929394,,-0.0011472437075766557,-0.002934662186806411,0.009752324793217481,-0.0014696247993370426,-0.0005403981595468071,0.02302355256244144,0.02302355256244144,0.005248879707898387,-0.0006889701851530746,0.03668585590013098
buy_2,0.031971007504925326,1.0,0.12771063257476448,0.25300368178121113,0.14381494643750287,0.20152631834305046,0.18581747204199733,0.07793429597201058,0.15353219717521308,-0.0015926318303381038,0.19708882761427415,0.16835446850243607,0.09502191019348676,0.15988572959025685,0.051913830883291,-0.01166940766798895,0.02937606122913283,0.09298155481641873,0.09298155481641873,0.147327201367347,-0.001592631830338098,0.061432500920370496,0.1138051088513981,-0.001592631830338098,0.1424175645261186,0.1195151884705526,,0.03510071198063272,0.0982616465347316,0.14182356312618843,0.016740197310615455,-0.0026011154304050902,0.026622194427679196,0.026622194427679196,0.039115019533518994,-0.003316241826570231,0.14261469532059257
buy_5,-0.005446043606442841,0.12771063257476448,1.0,0.33444742928848276,-0.11989065431298901,0.2852817726210555,0.2764211780022111,0.07152059175675544,0.13791477233271646,0.01843707176011862,0.2781247554300439,0.15031980551660915,0.14103144571435286,0.12657483272067546,0.10448714183798682,0.0037667008196844666,0.12195556899686422,0.17456107394052753,0.17456107394052753,0.10306562469806721,-0.002722346143361594,0.1294853969112511,0.14143528541225844,-0.002722346143361594,0.22444929569664693,0.19478147862653716,,0.21065635725344262,-0.024145257065364852,0.13875669331716123,-0.002534099438341281,0.09922765930619672,0.02029311836139116,0.02029311836139116,0.031242114588401655,-0.0056685782457967125,0.1718712122637635
buy_7,0.05156879309938299,0.25300368178121113,0.33444742928848276,1.0,0.5083338472879917,0.6517705062903123,0.44844359858060895,0.07464328892422638,0.2553947889944305,0.0072069064316079325,0.5152118933312737,0.2395709446444149,0.26299661475587166,0.26975726031418507,0.1168563480538865,0.057627756662382214,0.16825866992178728,0.32249832157188446,0.32249832157188446,0.258766551524832,-0.005173821747918505,0.2085488363372987,0.2616697589955188,-0.005173821747918505,0.3738535017718451,0.32886364544901536,,0.08580168723492844,0.2015337690878359,0.31359870074672885,-0.008999422733859865,0.021880667216761466,0.10042398101902647,0.10042398101902647,0.0768661942104531,-0.010773138999754765,0.30870025047120286
buy_9,-0.0145717466917551,0.14381494643750287,-0.11989065431298901,0.5083338472879917,1.0,0.5777850421704706,0.4396253001227686,0.0615453087678582,0.22247144164614094,0.012709917306662443,0.34423406506792825,0.13900668634505137,0.3833977857353511,0.19288566913924932,0.02650289950270669,0.1367583569265899,0.1674423486691144,0.4437692276679503,0.4437692276679503,0.22832836891248712,0.022706908715791774,0.20807243436043954,0.26294690513807767,0.022706908715791774,0.4069151437136236,0.33923657238900906,,-0.025255728506306026,0.20139398857838342,0.27593361322226573,0.01280224210162375,-0.011896469000166266,0.06494708104576874,0.06494708104576874,0.07966996553605331,-0.01516717313875766,0.3031195570910605
buy_10,0.04789600936638641,0.20152631834305046,0.2852817726210555,0.6517705062903123,0.5777850421704706,1.0,0.46761800323867714,0.0916957142452303,0.23098857228684355,0.006251013017754293,0.4731662748023688,0.2430585912341664,0.3050581784114759,0.2802800940948514,0.08625402950730629,0.054882897292568275,0.17434436695729674,0.3453493794299404,0.3453493794299404,0.28226827776534785,-0.005543019967693526,0.22596826859406363,0.2841676767573056,-0.005543019967693526,0.40377461423063493,0.367418044786958,,0.07619779735396427,0.16498502619957764,0.2942346540462039,-0.013965344352229939,0.01261704756963334,0.08443774874783916,0.08443774874783916,0.05188166583775034,0.016794264935457853,0.30916246450194923
buy_11,0.0440877583702063,0.18581747204199733,0.2764211780022111,0.44844359858060895,0.4396253001227686,0.46761800323867714,1.0,0.12587062488904815,0.1713222326045131,0.02764277727126921,0.7718202984015399,0.31901047658649706,0.3302819101487567,0.2161831355376714,0.11634786170647674,0.11198864901429686,0.14473999875428303,0.3855691637963736,0.3855691637963736,0.2417294605295594,0.016434041660770688,0.21863516405722688,0.2594622467623968,0.016434041660770688,0.4055881628406403,0.3823383137228747,,0.06345831060362277,0.12357146734663713,0.27972592952768416,0.044303674530101075,0.02455208837906674,0.073788575601591,0.073788575601591,0.04478022495527754,0.009085012561233997,0.27456082363886464
buy_12,-0.0015066498785262046,0.07793429597201058,0.07152059175675544,0.07464328892422638,0.0615453087678582,0.0916957142452303,0.12587062488904815,1.0,0.034596771318633784,0.07270211348525824,0.11557020564354897,0.10838315675732628,0.01623056481531037,0.08706901819184103,-0.0031699419009995323,-0.003019372395843597,0.013303114932519152,0.05087696333370691,0.05087696333370691,0.07092732987301485,-0.0007531380177253175,0.050778285582750556,0.053566989200283875,-0.0007531380177253175,0.05758581918331296,0.055986375235640456,,-0.0026113232058615613,0.0436503211998504,0.040003711950674356,0.02983354919971952,-0.0012300387834859082,0.006099773310365165,0.006099773310365165,0.0017773087487009528,-0.0015682141647455794,0.06064360583537225
buy_15,0.005238568865194636,0.15353219717521308,0.13791477233271646,0.2553947889944305,0.22247144164614094,0.23098857228684355,0.1713222326045131,0.034596771318633784,1.0,0.03987718251259699,0.1706619639783384,0.27985113137309786,0.15273098225421142,0.20191669567307033,0.013980653134448419,0.018676722479178683,0.10490253110780927,0.16994707533141354,0.16994707533141354,0.18554005789323277,-0.002704015201277981,0.12409198937446632,0.1901226508349842,-0.002704015201277981,0.19861032859750719,0.1652105993441902,,-0.00937551614433958,-0.023982674761149732,0.18244683669186385,0.007223224650961951,-0.00441624707613745,0.03998023229434358,0.03998023229434358,0.04153445480146785,0.03529156492148372,0.1414838616448307
buy_16,-0.0003308793219593267,-0.0015926318303381038,0.01843707176011862,0.0072069064316079325,0.012709917306662443,0.006251013017754293,0.02764277727126921,0.07270211348525824,0.03987718251259699,1.0,0.008859592782258055,-0.0019087767156296081,0.01353410669636478,-0.0034213159450845352,-0.0006961592350036753,0.007759392369785921,0.010476162309775303,0.011173223036843484,0.011173223036843484,0.01868193240863109,-0.00016539861065167037,-0.005682304203588799,0.0035674011591321554,-0.00016539861065167037,0.018388170985165247,0.020055726091549552,,-0.0005734795217435092,-0.0014669670064466635,-0.006145173743987155,-0.0007346300716231217,-0.00027013203562702295,-0.0011010526718943897,-0.0011010526718943897,-0.0027021764329800617,-0.00034439961593837865,-0.006234551355620218
